n;espaco_16bits;espaco_32bits;espaco_modular;espaco_spatialxor;espaco_bloom;
100;54234.0866921316;74778.7037775759;53085.3801495093;70224.53333333334;59400
200;240442.803887409;322078.547111042;242179.360170161;261962.13333333333;238800
300;572296.059447797;755516.090540229;585800.050234777;566732.0;538200
400;1057229.19533822;1382500.09444443;1093900.9273257 ;981229.0666666667;957600
500;1700225.08577564;2208218.68671011;1773528.18627608;1502868.8;1497000
600;2505469.68593259;3236637.00866342;2630072.81526024;2130357.6;2156400
700;3475946.91412622;4470921.524749;3667826.89537301;2862446.6666666665;2935800
800;4614720.77285446;5913897.75271545;4890628.41307191;3697723.7333333334;3835200
900;5923888.12238392;7567936.58158628;6301621.17151002;4636032.8;4854600
1000;7405564.03602585;9435044.80892777;7903579.98626448;5675921.333333333;5994000
1100;9061837.11803124;11517093.9869825;9699227.26955778;6817308.0;7253400
1200;10894201.4966704;13815822.4539217;11690608.4152336;8059822.933333334;8632800
1300;12904091.0367559;16332591.5967956;13879982.1728522;9402236.266666668;10132200
1400;15093176.6112916;19069091.131692;16269264.9627313;10844606.133333333;11751600
1500;17462656.5075208;22026726.0910258;18860152.1988068;12386476.533333333;13491000
1600;20013573.2526549;25206246.211683;21654383.3361144;14027362.933333334;15350400
1700;22747866.5226172;28609116.095769;24653508.3508996;15767214.933333334;17329800
1800;25665332.0835954;32236427.6797742;27858830.3207291;17605551.733333334;19429200
1900;28767742.9748667;36088961.0726074;31271963.3836492;19541965.866666667;21648600
2000;32056135.792776;40167917.0786202;34894143.5158129;21576458.666666668;23988000
